92,Sweetwater Tavern and Grille,"Michigan Plaza, 225 N Michigan Avenue, Chicago 60601",41.8864111111,-87.6243361111,3,16752567,https://www.zomato.com/chicago/sweetwater-tavern-and-grille-loop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,https://b.zmtcdn.com/data/res_imagery/16752567_RESTAURANT_da99558bfc8b6e4c7a001664f57d2f05_c.jpg,4.1,272,
94,Vegetarian Fast Food,"185 E. Army Trail Road, Glendale Heights 60139",41.9373961000,-88.0837597000,2,17762907,https://www.zomato.com/chicago/vegetarian-fast-food-glendale-heights?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"",0,0,
102,Lou Malnati's Pizzeria,439 N Wells Street 60654,41.8903810000,-87.6340240000,2,16736014,https://www.zomato.com/chicago/lou-malnatis-pizzeria-river-north?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,https://b.zmtcdn.com/data/res_imagery/16736012_CHAIN_6f3a18b2afb334b4d35deb987e2da183_c.jpg,4.6,1193,
34,Indian Bistro,"735 E. Dundee Road, Palatine 60074",42.1394000000,-88.0248333333,2,16752057,https://www.zomato.com/chicago/indian-bistro-palatine?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"",3.5,54,
38,Masala: Indian & Fusion Cuisine,"801 E. Butterfield Road, Suite 101, Lombard 60148",41.8399541000,-87.9965450000,2,16755306,https://www.zomato.com/chicago/masala-indian-fusion-cuisine-lombard?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,https://b.zmtcdn.com/data/res_imagery/16755306_RESTAURANT_e40ecc3dc17544c54583df9c16980e1f_c.jpg,3.4,22,
93,Crêperie Saint-Germain,"1512 Sherman Avenue, Evanston 60201",42.0451750000,-87.6819611111,3,16754658,https://www.zomato.com/chicago/creperie-saint-germain-1-evanston?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,https://b.zmtcdn.com/data/res_imagery/16754658_CHAIN_318a3fd0763c49378025fe2d6467d8ae.JPG,3.6,41,
98,Chowpatti Vegetarian Restaurant,"Chowpatti Plaza, 1035 S. Arlington Heights Road, Arlington Heights 60005",42.0648305556,-87.9795305556,2,16740374,https://www.zomato.com/chicago/chowpatti-vegetarian-restaurant-arlington-heights?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"",3.6,80,
35,Indian Garden,"2nd Floor, 247 E Ontario Street 60611",41.8932611111,-87.6207361111,3,16735072,https://www.zomato.com/chicago/indian-garden-streeterville?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"",3.9,218,
36,Gaylord Fine Indian Cuisine,555 Mall Drive 60173,42.0395055556,-88.0386500000,2,16749633,https://www.zomato.com/chicago/gaylord-fine-indian-cuisine-schaumburg?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"",3.5,109,
96,Vegetarian Express,4747 N. Damen Avenue 60625,41.9683220000,-87.6790280000,2,18074849,https://www.zomato.com/chicago/vegetarian-express-lincoln-square?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"",0,0,
